175,43500,1493,-3129,1764,-22834,25977,-3962,1493,-3129,1764,0,0
176,43750,1772,-3154,1583,-24154,25065,-1683,1772,-3154,1583,0,0
177,44000,2039,-3160,1391,-25325,23999,607,2039,-3160,1391,0,0
178,44250,2295,-3147,1191,-26339,22785,2893,2295,-3147,1191,0,0
179,44500,2536,-3114,984,-27192,21431,5162,2536,-3114,984,0,0
180,44750,2761,-3062,770,-27876,19944,7398,2761,-3062,770,0,0
181,45000,2969,-2991,552,-28389,18335,9589,2969,-2991,552,0,0
182,45250,3159,-2901,330,-28727,16612,11721,3159,-2901,330,0,0
183,45500,3330,-2794,107,-28887,14787,13780,3330,-2794,107,0,0
184,45750,3480,-2670,-118,-28869,12870,15755,3480,-2670,-118,0,0
185,46000,3609,-2526,-340,-28665,10867,17631,3609,-2526,-340,0,0
186,46250,3719,-2363,-559,-28270,8786,19397,3719,-2363,-559,0,0
187,46500,3807,-2180,-772,-27683,6635,21040,3807,-2180,-772,0,0
188,46750,3871,-1985,-982,-26928,4446,22555,3871,-1985,-982,0,0
189,47000,3901,-1796,-1194,-26058,2271,23938,3901,-1796,-1194,0,0
190,47250,3907,-1594,-1399,-25025,80,25173,3907,-1594,-1399,0,0
191,47500,3893,-1380,-1592,-23832,-2115,26251,3893,-1380,-1592,0,0
192,47750,3858,-1153,-1772,-22490,-4298,27167,3858,-1153,-1772,0,0
193,48000,3803,-916,-1939,-21008,-6457,27915,3803,-916,-1939,0,0
194,48250,3727,-671,-2092,-19395,-8577,28491,3727,-671,-2092,0,0
195,48500,3625,-424,-2234,-17661,-10644,28891,3625,-424,-2234,0,0
196,48750,3498,-177,-2366,-15818,-12649,29116,3498,-177,-2366,0,0
197,49000,3344,67,-2486,-13879,-14575,29161,3344,67,-2486,0,0
198,49250,3169,310,-2592,-11853,-16415,29029,3169,310,-2592,0,0
199,49500,2975,552,-2681,-9752,-18155,28718,2975,552,-2681,0,0
200,49750,2763,791,-2753,-7592,-19777,28224,2763,791,-2753,0,0
201,50000,2537,1028,-2806,-5382,-21281,27557,2537,1028,-2806,0,0
202,50250,2301,1262,-2837,-3142,-22649,26719,2301,1262,-2837,0,0
203,50500,2053,1491,-2849,-882,-23878,25716,2053,1491,-2849,0,0
204,50750,1790,1710,-2844,1387,-24962,24554,1790,1710,-2844,0,0
205,51000,1513,1915,-2825,3648,-25894,23240,1513,1915,-2825,0,0
206,51250,1221,2105,-2792,5887,-26666,21783,1221,2105,-2792,0,0
207,51500,919,2279,-2744,8089,-27274,20193,919,2279,-2744,0,0
208,51750,613,2439,-2679,10237,-27712,18480,613,2439,-2679,0,0
209,52000,305,2587,-2594,12324,-27980,16653,305,2587,-2594,0,0
210,52250,1,2722,-2491,14334,-28075,14722,1,2722,-2491,0,0
211,52500,-300,2844,-2369,16256,-27996,12701,-300,2844,-2369,0,0
212,52750,-596,2951,-2230,18080,-27746,10600,-596,2951,-2230,0,0
213,53000,-891,3038,-2080,19790,-27323,8435,-891,3038,-2080,0,0
214,53250,-1188,3100,-1922,21382,-26737,6218,-1188,3100,-1922,0,0
215,53500,-1481,3141,-1755,22843,-25986,3963,-1481,3141,-1755,0,0
216,53750,-1767,3160,-1578,24162,-25073,1683,-1767,3160,-1578,0,0
217,54000,-2039,3162,-1390,25333,-24008,-607,-2039,3162,-1390,0,0
218,54250,-2296,3148,-1191,26349,-22794,-2894,-2296,3148,-1191,0,0
219,54500,-2534,3118,-982,27204,-21441,-5163,-2534,3118,-982,0,0
220,54750,-2754,3071,-764,27892,-19958,-7400,-2754,3071,-764,0,0
221,55000,-2956,3005,-541,28405,-18349,-9590,-2956,3005,-541,0,0
222,55250,-3144,2917,-318,28740,-16624,-11722,-3144,2917,-318,0,0
223,55500,-3316,2808,-96,28898,-14796,-13781,-3316,2808,-96,0,0
224,55750,-3471,2679,125,28877,-12877,-15756,-3471,2679,125,0,0
225,56000,-3605,2533,344,28680,-10880,-17633,-3605,2533,344,0,0
226,56250,-3715,2374,564,28312,-8819,-19404,-3715,2374,564,0,0
227,56500,-3798,2204,782,27769,-6704,-21055,-3798,2204,782,0,0
228,56750,-3855,2022,998,27054,-4546,-22578,-3855,2022,998,0,0
229,57000,-3887,1829,1208,26168,-2359,-23957,-3887,1829,1208,0,0
230,57250,-3895,1623,1411,25120,-158,-25188,-3895,1623,1411,0,0
231,57500,-3882,1406,1603,23918,2045,-26265,-3882,1406,1603,0,0
232,57750,-3848,1176,1782,22568,4235,-27180,-3848,1176,1782,0,0
233,58000,-3793,938,1949,21080,6399,-27928,-3793,938,1949,0,0
234,58250,-3715,694,2104,19462,8524,-28504,-3715,694,2104,0,0
235,58500,-3611,448,2247,17725,10595,-28904,-3611,448,2247,0,0
236,58750,-3481,202,2380,15877,12599,-29123,-3481,202,2380,0,0
