247,60250,-1448,4351,-2265,5484,-28280,22603,84,-230,89,7246,-28849,21475
248,60500,-1712,4394,-2027,7781,-28977,21017,96,-230,77,9505,-29409,19782
249,60750,-1966,4409,-1775,10030,-29495,19302,108,-230,66,11706,-29788,17967
250,61000,-2209,4398,-1510,12218,-29832,17467,119,-227,53,13835,-29984,16042
251,61250,-2439,4360,-1236,14330,-29985,15525,129,-224,41,15878,-29995,14017
252,61500,-2656,4295,-952,16354,-29953,13487,138,-219,28,17824,-29820,11907
253,61750,-2856,4205,-662,18277,-29736,11366,147,-213,14,19660,-29462,9722
254,62000,-3041,4088,-366,20087,-29336,9175,155,-205,1,21374,-28923,7478
255,62250,-3207,3947,-67,21773,-28755,6927,162,-196,-12,22957,-28205,5188
256,62500,-3355,3782,234,23326,-27997,4637,168,-186,-26,24398,-27313,2866
257,62750,-3483,3594,534,24734,-27066,2318,173,-175,-39,25688,-26252,526
258,63000,-3590,3384,832,25990,-25968,-15,177,-163,-52,26821,-25030,-1817
259,63250,-3676,3153,1126,27086,-24710,-2349,180,-150,-65,27788,-23654,-4149
260,63500,-3740,2903,1414,28014,-23300,-4667,182,-136,-77,28583,-22131,-6456
261,63750,-3782,2636,1694,28770,-21746,-6957,183,-121,-89,29203,-20473,-8722
262,64000,-3802,2353,1965,29349,-20059,-9204,182,-105,-101,29642,-18688,-10935
263,64250,-3799,2055,2225,29747,-18247,-11394,181,-89,-112,29899,-16787,-13080
264,64500,-3773,1745,2471,29961,-16323,-13514,178,-72,-122,29971,-14784,-15145
265,64750,-3725,1425,2704,29990,-14298,-15551,175,-55,-132,29859,-12689,-17117
266,65000,-3655,1096,2921,29835,-12185,-17492,170,-37,-141,29562,-10516,-18982
267,65250,-3563,760,3121,29496,-9997,-19325,165,-19,-148,29083,-8278,-20731
268,65500,-3450,420,3302,28975,-7748,-21039,158,-1,-156,28425,-5989,-22352
269,65750,-3316,78,3464,28275,-5450,-22623,151,17,-162,27592,-3663,-23835
270,66000,-3163,-264,3606,27401,-3119,-24067,142,34,-167,26588,-1315,-25172
271,66250,-2991,-605,3726,26358,-769,-25364,133,52,-171,25421,1042,-26353
272,66500,-2801,-941,3824,25152,1586,-26503,123,69,-174,24097,3392,-27371
273,66750,-2595,-1272,3899,23792,3931,-27480,112,86,-177,22624,5721,-28221
274,67000,-2373,-1594,3951,22285,6252,-28287,101,102,-178,21012,8015,-28897
275,67250,-2138,-1907,3980,20640,8535,-28920,89,118,-178,19270,10260,-29395
276,67500,-1890,-2207,3985,18868,10765,-29374,76,133,-177,17409,12441,-29711
277,67750,-1631,-2494,3966,16980,12928,-29647,63,147,-175,15441,14545,-29844
278,68000,-1363,-2765,3923,14987,15012,-29738,50,160,-172,13378,16560,-29794
279,68250,-1087,-3019,3857,12902,17003,-29645,37,172,-167,11233,18473,-29559
280,68500,-805,-3253,3768,10737,18889,-29369,23,183,-162,9018,20272,-29143
281,68750,-519,-3468,3657,8506,20659,-28912,9,193,-156,6748,21946,-28546
282,69000,-230,-3661,3523,6222,22302,-28277,-5,201,-149,4436,23485,-27774
283,69250,60,-3832,3369,3900,23807,-27468,-19,209,-141,2096,24878,-26830
284,69500,349,-3978,3194,1555,25165,-26489,-33,215,-132,-256,26119,-25722
285,69750,634,-4100,3001,-801,26368,-25347,-46,220,-123,-2607,27198,-24454
286,70000,916,-4196,2790,-3151,27409,-24049,-59,223,-113,-4941,28110,-23036
