       255,     63500,-12724, 23559,-10821, 21205,-19322, -1882,0
       256,     63750,-14272, 23447, -9162, 21972,-18252, -3718,0
       257,     64000,-15737, 23189, -7439, 22606,-17065, -5538,0
       258,     64250,-17111, 22786, -5663, 23103,-15768, -7332,0
       259,     64500,-18383, 22241, -3846, 23458,-14368, -9086,0
       260,     64750,-19547, 21556, -1997, 23669,-12874,-10791,0
       261,     65000,-20594, 20734,  -129, 23735,-11295,-12436,0
       262,     65250,-21518, 19781,  1747, 23653, -9639,-14009,0
       263,     65500,-22312, 18702,  3619, 23425, -7918,-15502,0
       264,     65750,-22970, 17503,  5476, 23052, -6141,-16905,0
       265,     66000,-23489, 16191,  7307, 22533, -4320,-18208,0
       266,     66250,-23865, 14773,  9098, 21874, -2465,-19403,0
       267,     66500,-24094, 13259, 10840, 21077,  -588,-20482,0
       268,     66750,-24175, 11658, 12522, 20146,  1299,-21438,0
       269,     67000,-24106,  9978, 14132, 19087,  3185,-22265,0
       270,     67250,-23888,  8231, 15661, 17906,  5058,-22957,0
       271,     67500,-23522,  6426, 17098, 16610,  6907,-23510,0
       272,     67750,-23009,  4575, 18434, 15206,  8719,-23918,0
       273,     68000,-22351,  2689, 19662, 13704, 10483,-24180,0
       274,     68250,-21553,   779, 20772, 12111, 12189,-24293,0
       275,     68500,-20619, -1142, 21758, 10438, 13825,-24256,0
       276,     68750,-19554, -3062, 22612,  8695, 15381,-24069,0
       277,     69000,-18365, -4971, 23330,  6891, 16847,-23732,0
       278,     69250,-17058, -6855, 23906,  5039, 18214,-23247,0
       279,     69500,-15641, -8703, 24336,  3149, 19473,-22617,0
       280,     69750,-14123,-10504, 24618,  1234, 20615,-21844,0
       281,     70000,-12512,-12245, 24748,  -696, 21634,-20933,0
       282,     70250,-10819,-13917, 24725, -2628, 22522,-19890,0
       283,     70500, -9053,-15509, 24550, -4549, 23273,-18720,0
       284,     70750, -7226,-17010, 24223, -6449, 23883,-17431,0
       285,     71000, -5348,-18411, 23745, -8316, 24347,-16029,0
       286,     71250, -3431,-19702, 23118,-10137, 24662,-14523,0
       287,     71500, -1486,-20876, 22347,-11901, 24825,-12923,0
       288,     71750,   474,-21925, 21436,-13597, 24835,-11238,0
       289,     72000,  2436,-22841, 20389,-15214, 24691, -9477,0
       290,     72250,  4390,-23620, 19213,-16742, 24394, -7653,0
       291,     72500,  6323,-24255, 17915,-18171, 23945, -5775,0
       292,     72750,  8223,-24742, 16502,-19493, 23346, -3856,0
       293,     73000, 10077,-25078, 14983,-20698, 22601, -1906,0
       294,     73250, 11875,-25259, 13367,-21778, 21714,    61,0
       295,     73500, 13605,-25286, 11664,-22727, 20689,  2033,0
       296,     73750, 15256,-25156,  9883,-23539, 19534,  4000,0
       297,     74000, 16818,-24871,  8036,-24207, 18254,  5947,0
       298,     74250, 18280,-24431,  6135,-24727, 16857,  7863,0
       299,     74500, 19633,-23839,  4190,-25096, 15352,  9737,0
       300,     74750, 20869,-23098,  2213,-25311, 13747, 11556,0
       301,     75000, 21980,-22213,   218,-25370, 12053, 13309,0
       302,     75250, 22958,-21187, -1785,-25272, 10279, 14985,0
       303,     75500, 23797,-20028, -3782,-25017,  8436, 16572,0
       304,     75750, 24491,-18742, -5761,-24608,  6536, 18062,0
       305,     76000, 25036,-17337, -7710,-24044,  4590, 19445,0
       306,     76250, 25427,-15821, -9617,-23331,  2609, 20711,0
       307,     76500, 25663,-14203,-11470,-22471,   607, 21853,0
       308,     76750, 25740,-12493,-13256,-21469, -1404, 22863,0
       309,     77000, 25659,-10701,-14966,-20332, -3413, 23734,0
       310,     77250, 25419, -8838,-16587,-19066, -5406, 24462,0
       311,     77500, 25021, -6916,-18110,-17679, -7371, 25039,0
       312,     77750, 24467, -4946,-19525,-16179, -9296, 25464,0
       313,     78000, 23761, -2940,-20823,-14574,-11168, 25732,0
       314,     78250, 22906,  -911,-21996,-12875,-12977, 25842,0
       315,     78500, 21907,  1129,-23036,-11092,-14711, 25793,0
       316,     78750, 20771,  3167,-23936, -9235,-16358, 25583,0
       317,     79000, 19503,  5191,-24691, -7317,-17908, 25216,0
       318,     79250, 18111,  7187,-25294, -5348,-19352, 24691,0
       319,     79500, 16604,  9144,-25743, -3341,-20680, 24012,0
       320,     79750, 14990, 11050,-26034, -1308,-21884, 23183,0
       321,     80000, 13280, 12892,-26164,   738,-22955, 22209,0
       322,     80250, 11483, 14659,-26133,  2785,-23888, 21095,0
       323,     80500,  9611, 16339,-25941,  4821,-24675, 19848,0
       324,     80750,  7674, 17923,-25587,  6831,-25311, 18474,0
       325,     81000,  5686, 19400,-25075,  8804,-25793, 16984,0
       326,     81250,  3658, 20760,-24406, 10728,-26117, 15384,0
       327,     81500,  1602, 21995,-23584, 12590,-26280, 13685,0
       328,     81750,  -469, 23098,-22615, 14379,-26281, 11898,0
       329,     82000, -2542, 24060,-21504, 16084,-26119, 10033,0
       330,     82250, -4604, 24875,-20257, 17693,-25796,  8101,0
       331,     82500, -6643, 25539,-18881, 19197,-25313,  6114,0
       332,     82750, -8645, 26046,-17386, 20586,-24671,  4085,0
       333,     83000,-10599, 26394,-15780, 21851,-23876,  2026,0
       334,     83250,-12492, 26579,-14072, 22983,-22932,   -51,0
